district,School Basic Sanitation,School Educational Infrastructure,School Facilities,School Physical Infrastructure,School Profile
adilabad,7.0,10.0,5.0,3.0,4.0
khunti,7.0,9.0,5.0,2.0,4.0
ganderbal,7.0,8.0,4.0,3.0,4.0
bageshwar,7.0,9.0,4.0,2.0,4.0
fatehgarh sahib,10.0,9.0,7.0,3.0,4.0
visakhapatnam,6.0,8.0,5.0,3.0,3.0
gondiya,10.0,9.0,7.0,3.0,4.0
gonda,7.0,6.0,4.0,3.0,4.0
sibsagar,6.0,9.0,2.0,4.0,4.0
kancheepuram,10.0,6.0,7.0,3.0,3.0
rae bareli,7.0,7.0,3.0,3.0,4.0
jagatsinghpur,10.0,8.0,5.0,3.0,4.0
nanded,7.0,9.0,7.0,3.0,3.0
reasi,7.0,9.0,3.0,2.0,4.0
samastipur,7.0,7.0,4.0,3.0,4.0
kachchh,10.0,8.0,9.0,3.0,4.0
jhunjhunu,7.0,5.0,7.0,3.0,4.0
andaman islands,10.0,8.0,7.0,3.0,9.0
east godavari,6.0,7.0,6.0,3.0,4.0
purba champaran,10.0,8.0,2.0,3.0,4.0
gariaband,7.0,10.0,5.0,3.0,4.0
tehri garhwal,7.0,9.0,5.0,2.0,4.0
jaintia hills,17.0,7.0,2.0,4.0,5.0
latur,7.0,9.0,7.0,3.0,3.0
nadia,10.0,9.0,3.0,3.0,4.0
badgam,6.0,8.0,4.0,4.0,4.0
ganjam,10.0,8.0,5.0,4.0,4.0
mahesana,10.0,8.0,9.0,3.0,4.0
mathura,7.0,6.0,5.0,3.0,4.0
sukma,6.0,10.0,3.0,3.0,4.0
lower subansiri,8.0,6.0,4.0,3.0,4.0
nawanshahr,10.0,8.0,7.0,3.0,4.0
patna,7.0,7.0,3.0,3.0,3.0
dhamtari,7.0,9.0,5.0,3.0,4.0
north tripura,7.0,9.0,3.0,4.0,5.0
pauri,7.0,8.0,5.0,2.0,4.0
darjeeling,7.0,9.0,2.0,3.0,4.0
thane,10.0,6.0,9.0,4.0,2.0
etawah,7.0,6.0,5.0,3.0,4.0
kamle,7.0,9.0,4.0,3.0,4.0
hisar,10.0,6.0,8.0,3.0,3.0
wokha,9.0,8.0,3.0,4.0,4.0
rajsamand,10.0,7.0,5.0,3.0,4.0
vikarabad,7.0,10.0,5.0,3.0,4.0
phek,7.0,8.0,3.0,3.0,4.0
kupwara,7.0,9.0,3.0,3.0,4.0
kargil,7.0,9.0,2.0,4.0,7.0
mahabubabad,7.0,9.0,5.0,3.0,4.0
jind,10.0,7.0,7.0,3.0,4.0
aligarh,7.0,6.0,5.0,3.0,4.0
jhalawar,7.0,7.0,5.0,3.0,4.0
mahe,10.0,6.0,9.0,3.0,1.0
hingoli,7.0,9.0,6.0,3.0,4.0
sonbhadra,7.0,8.0,5.0,4.0,4.0
baksa,6.0,8.0,4.0,5.0,4.0
west sikkim,10.0,7.0,5.0,2.0,5.0
nagaur,7.0,6.0,6.0,3.0,4.0
barnala,10.0,7.0,8.0,4.0,3.0
dibang valley,8.0,10.0,4.0,4.0,3.0
dehradun,7.0,5.0,6.0,3.0,4.0
hapur (panchsheel nagar),10.0,5.0,4.0,3.0,3.0
sant kabir nagar,7.0,6.0,4.0,3.0,4.0
kurung kumey,5.0,8.0,2.0,3.0,4.0
the nilgiris,10.0,7.0,7.0,3.0,2.0
capital complex itanagar,7.0,5.0,5.0,3.0,2.0
