district,School Basic Sanitation,School Educational Infrastructure,School Facilities,School Physical Infrastructure,School Profile
belagavi,10.0,8.0,5.0,3.0,3.0
giridih,7.0,8.0,5.0,2.0,4.0
champhai,10.0,6.0,6.0,3.0,4.0
davanagere,10.0,8.0,6.0,2.0,3.0
koraput,10.0,10.0,4.0,4.0,4.0
vellore,10.0,7.0,7.0,3.0,3.0
nalanda,7.0,8.0,4.0,3.0,4.0
gadchiroli,7.0,10.0,6.0,3.0,4.0
betul,7.0,9.0,5.0,3.0,4.0
wanaparthy,7.0,9.0,5.0,3.0,3.0
sitamarhi,7.0,6.0,3.0,3.0,4.0
erode,10.0,8.0,7.0,3.0,3.0
bijnor,10.0,5.0,5.0,3.0,4.0
palamu,7.0,9.0,6.0,2.0,4.0
bhojpur,10.0,7.0,3.0,3.0,4.0
azamgarh,7.0,5.0,4.0,3.0,4.0
bhadoi,7.0,6.0,4.0,3.0,4.0
hamirpur (u.p.),7.0,6.0,4.0,3.0,3.0
barabanki,7.0,7.0,5.0,3.0,4.0
maharajganj,7.0,6.0,5.0,3.0,4.0
akola,7.0,8.0,7.0,3.0,3.0
perambalur,10.0,7.0,7.0,3.0,4.0
kaushambi,7.0,6.0,5.0,3.0,4.0
south garo hills,18.0,9.0,2.0,4.0,4.0
saran,10.0,7.0,2.0,3.0,4.0
siddipet,7.0,9.0,6.0,3.0,3.0
west garo hills,8.0,6.0,1.0,4.0,4.0
saharanpur,7.0,4.0,5.0,3.0,3.0
thoothukkudi,10.0,6.0,6.0,2.0,3.0
coimbatore,10.0,7.0,8.0,3.0,2.0
udupi,10.0,9.0,7.0,4.0,4.0
khandwa,7.0,8.0,5.0,3.0,4.0
panch mahals,10.0,9.0,7.0,4.0,4.0
vidisha,10.0,8.0,5.0,3.0,4.0
datia,7.0,8.0,6.0,3.0,3.0
udaipur,7.0,7.0,4.0,3.0,4.0
darrang,6.0,9.0,5.0,3.0,4.0
dhar,7.0,9.0,5.0,3.0,4.0
munger,7.0,8.0,2.0,3.0,3.0
golaghat,7.0,9.0,4.0,4.0,4.0
tamenglong,8.0,9.0,2.0,4.0,4.0
arwal,10.0,7.0,2.0,2.0,4.0
prakasam,6.0,8.0,5.0,3.0,4.0
singrauli,7.0,8.0,4.0,3.0,4.0
shahdol,7.0,9.0,5.0,4.0,4.0
rayagada,10.0,10.0,4.0,4.0,4.0
khammam,7.0,9.0,6.0,3.0,3.0
katni,7.0,8.0,5.0,3.0,4.0
chitrakoot,7.0,8.0,4.0,3.0,4.0
greater bombay,10.0,6.0,10.0,3.0,1.0
hardoi,7.0,7.0,5.0,3.0,4.0
south west garo hills,13.0,9.0,1.0,4.0,4.0
tirap,7.0,8.0,2.0,3.0,4.0
kalahandi,10.0,9.0,4.0,3.0,4.0
sonepur,10.0,8.0,4.0,3.0,4.0
pilibhit,7.0,6.0,4.0,3.0,4.0
west godavari,6.0,8.0,6.0,3.0,4.0
lower dibang valley,7.0,8.0,5.0,3.0,4.0
ghaziabad,7.0,3.0,6.0,3.0,3.0
mau,7.0,5.0,4.0,2.0,4.0
buldana,7.0,9.0,6.0,3.0,4.0
kanpur,7.0,6.0,5.0,3.0,3.0
kanniyakumari,10.0,6.0,8.0,4.0,2.0
east siang,7.0,8.0,4.0,3.0,4.0
kolhapur,7.0,9.0,8.0,3.0,4.0
karauli,7.0,6.0,6.0,3.0,4.0
namsai,6.0,8.0,2.0,4.0,4.0
budaun,7.0,7.0,5.0,3.0,4.0
faridkot,10.0,8.0,7.0,3.0,3.0
surajpur,7.0,9.0,5.0,3.0,4.0
shimla,7.0,9.0,6.0,3.0,5.0
supaul,7.0,7.0,3.0,3.0,4.0
chhindwara,10.0,9.0,6.0,3.0,4.0
medak,7.0,10.0,5.0,3.0,4.0
sitapur,7.0,7.0,4.0,4.0,4.0
kadapa,6.0,8.0,4.0,3.0,3.0
paschim bardhaman,10.0,9.0,4.0,3.0,3.0
jayashankar,7.0,9.0,5.0,3.0,4.0
amethi - csm nagar,7.0,7.0,4.0,4.0,4.0
raisen,10.0,8.0,6.0,3.0,4.0
senapati,9.0,9.0,2.0,4.0,4.0
amritsar,10.0,6.0,7.0,3.0,3.0
tumakuru,10.0,9.0,5.0,2.0,4.0
simdega,7.0,9.0,5.0,2.0,4.0
thrissur,10.0,8.0,10.0,3.0,3.0
ariyalur,10.0,8.0,7.0,4.0,4.0
pulwama,7.0,8.0,3.0,3.0,4.0
sonipat,10.0,6.0,7.0,4.0,3.0
patan,10.0,9.0,8.0,4.0,4.0
baran,6.0,7.0,4.0,3.0,4.0
komaram bheem,7.0,10.0,4.0,3.0,4.0
nainital,7.0,7.0,6.0,2.0,4.0
ganganagar,7.0,6.0,6.0,3.0,4.0
gandhinagar,10.0,6.0,9.0,3.0,3.0
south goa,10.0,9.0,6.0,3.0,7.0
neemuch,7.0,7.0,6.0,3.0,4.0
malkangiri,10.0,10.0,4.0,3.0,4.0
murshidabad,7.0,9.0,3.0,3.0,4.0
imphal west,10.0,6.0,5.0,3.0,3.0
dhubri,6.0,8.0,4.0,4.0,4.0
suryapet,7.0,9.0,6.0,3.0,3.0
faridabad,10.0,3.0,8.0,3.0,2.0
mancherial,7.0,9.0,5.0,2.0,3.0
etah,7.0,6.0,4.0,3.0,4.0
kamareddy,7.0,10.0,4.0,3.0,4.0
pathanamthitta,7.0,8.0,8.0,3.0,4.0
narmada,10.0,10.0,7.0,4.0,4.0
katihar,10.0,6.0,3.0,3.0,4.0
alwar,7.0,5.0,6.0,3.0,4.0
chitradurga,7.0,9.0,5.0,2.0,4.0
ambedkar nagar,7.0,5.0,4.0,3.0,4.0
dindori,7.0,9.0,5.0,4.0,4.0
angul,10.0,9.0,5.0,3.0,4.0
jogulamba,7.0,9.0,4.0,3.0,3.0
siddharthnagar,7.0,7.0,4.0,3.0,4.0
rajauri,7.0,8.0,3.0,3.0,4.0
ranchi,7.0,7.0,6.0,3.0,4.0
pali,7.0,6.0,7.0,3.0,4.0
patiala,10.0,7.0,7.0,3.0,3.0
shi yomi,8.0,6.0,2.0,4.0,4.0
mayurbhanj,10.0,9.0,5.0,3.0,4.0
keonjhar,6.0,9.0,5.0,4.0,4.0
birbhum,7.0,9.0,4.0,3.0,4.0
karaikal,10.0,7.0,9.0,3.0,4.0
dhalai,7.0,10.0,2.0,4.0,5.0
kurnool,7.0,7.0,5.0,3.0,3.0
taran taran,10.0,7.0,7.0,3.0,4.0
koriya,7.0,9.0,5.0,3.0,4.0
south salmara-mankachar,6.0,7.0,4.0,4.0,4.0
fatehpur,7.0,6.0,4.0,3.0,4.0
saharsa,10.0,7.0,2.0,3.0,4.0
mandsaur,7.0,7.0,5.0,3.0,4.0
thoubal,9.0,6.0,5.0,3.0,3.0
saraikela-kharsawan,10.0,9.0,5.0,2.0,4.0
kamjong,7.0,10.0,2.0,6.0,4.0
jhajjar,7.0,6.0,8.0,3.0,4.0
kishtwar,6.0,9.0,3.0,4.0,4.0
banswara,6.0,8.0,4.0,4.0,4.0
rewari,10.0,7.0,7.0,3.0,4.0
siwan,7.0,8.0,3.0,3.0,4.0
lepa rada,7.0,3.0,3.0,4.0,4.0
anjaw,7.0,9.0,2.0,3.0,4.0
jangaon,7.0,9.0,5.0,3.0,4.0
bolangir,9.0,9.0,4.0,3.0,4.0
srikakulam,6.0,9.0,4.0,3.0,4.0
rupnagar,10.0,9.0,7.0,3.0,4.0
unnao,10.0,7.0,5.0,3.0,4.0
karur,10.0,8.0,7.0,4.0,3.0
lahul & spiti,7.0,10.0,4.0,2.0,4.0
jehanabad,10.0,8.0,2.0,3.0,4.0
meerut,7.0,4.0,5.0,3.0,3.0
upper subansiri,6.0,9.0,3.0,4.0,4.0
agra,7.0,6.0,5.0,3.0,3.0
ballari,10.0,7.0,5.0,2.0,3.0
porbandar,10.0,8.0,8.0,3.0,3.0
pithoragarh,7.0,9.0,4.0,3.0,4.0
dhule,7.0,9.0,7.0,3.0,4.0
muzaffarpur,7.0,6.0,3.0,3.0,4.0
nawada,10.0,7.0,3.0,3.0,4.0
buxar,10.0,7.0,4.0,3.0,4.0
raipur,10.0,6.0,6.0,3.0,3.0
kolar,10.0,9.0,5.0,2.0,4.0
dima hasao,10.0,9.0,3.0,4.0,4.0
kolasib,7.0,6.0,4.0,3.0,3.0
dausa,7.0,6.0,6.0,3.0,4.0
satna,7.0,7.0,5.0,3.0,4.0
krishna,6.0,7.0,5.0,3.0,3.0
vizianagaram,6.0,9.0,5.0,3.0,4.0
nalbari,5.0,8.0,4.0,3.0,4.0
hojai,7.0,9.0,4.0,4.0,4.0
